value	quote_count	file_key	quote_keys
व्यासः	1	vyAsaH	atikrAmtas
शङ्करः	3	shankaraH	adyApyatya, avijmAtepa, samyagvich
शङ्करः - निर्वाण-षट्कम्	1	shankaraH_-_nirvANa-ShaTkam	mamobudhya
शङ्करमिश्रः - कणादरहस्यम्	1	shankaramishraH_-_kaNAdarahasyam	jayatirati
शतानन्दस्य	1	shatAnandasya	kopastvayA
शतावधानी गणेशः - मुक्तकम्	10		
शशिकिरणः	5		
शशिकिरणः - मुक्तकम्	2	shashikiraNaH_-_muktakam	devAdaityA, prakrIyasm
शार्ङ्गधरपद्धतिः	1	shArngadharapaddhatiH	shIlAvijAm
शिवपुराणम्	1	shivapurANam	samxipyach
शिवादित्यमिश्रः - सप्तपदार्थी	1	shivAdityamishraH_-_saptapadArthI	hetavejaga
शीला	2	shIlA	dUtitvamta, yaHkaumAra
शुक्लयजुर्वेदः	1	shuklayajurvedaH	yatrabrahm
शूद्रकः - मृच्छकटिकम्	1	shUdrakaH_-_mRchChakaTikam	tayoridams
श्यामलिकः - पादताडितकम्	1	shyAmalikaH_-_pAdatADitakam	maprApmuva
श्रीधरस्वामी	1	shrIdharasvAmI	sheShAsheS
श्रीमद्रूपगोस्वामिप्रभुपादैः - भक्तिरसामृतसिन्धौ २.५.१३२-१३३	1	shrImadrUpagosvAmiprabhupAdaiH_-_bhaktirasAmRtasin	vyatItyabh
श्रीललिता - मुक्तकम्	2	shrIlalitA_-_muktakam	dhyAtAprIt, yasyapAdam
श्रीहर्षः	1	shrIharShaH	sAhityesuk
श्रीहर्षः - नैषधीयचरितम्	1	shrIharShaH_-_naiShadhIyacharitam	IrShyayAra
श्वेताश्वतरोपनिषत्	1	shvetAshvataropaniShat	yasyadevep
संविदुल्लासः	1	saMvidullAsaH	prAmAmikIv
सतीशः	2	satIshaH	AtmAmamkav, jIvamlikhA
सिल्हणस्य	1	silhaNasya	yadvaktram
सुदीप्तः	3	sudIptaH	agadArkama, vidvAmvasa, vyomAvadhi
सुधीरः	2	sudhIraH	alpasatvop, mirgumamsa
सुधीरः - मुक्तकम्	6		
सुन्दर-पाण्ड्यः - नीतिद्विषष्टिका	12		
सुरेश्वरः	1	sureshvaraH	makhyAtilA
सुश्रुतः	2	sushrutaH	ekamshAstr, prasamgAdg
सुश्रुतसंहिता	1	sushrutasaMhitA	ekamshAstr
सुहासः	12		
सुहासः - मुक्तकम्	8		
सौन्दर्यलहरी	1	saundaryalaharI	amkolamija
स्कन्दपुराणम्	3	skandapurANam	jarArogAbh, yamadRShTa, yovedochat
स्थानेश्वरः	1	sthAneshvaraH	miguhyAmal
स्वप्नवासवदत्तः	1	svapnavAsavadattaH	kAtarAyepy
हितोपदेशः	4	hitopadeshaH	AdAmasyapr, atathyAmya, aurasamkRt, yamavebhAj
हॆब्बललु-राघवेन्द्रः - मुक्तकम्	12		
हॆब्बळलु-राघवेन्द्रः - मुक्तकम्	1	hEbbaLalu-rAghavendraH_-_muktakam	madIyemAma
हेब्बललु-राघवेन्द्रः - मुक्तकम्	1	hebbalalu-rAghavendraH_-_muktakam	yadbhaktih
हेब्बळलु-राघवेन्द्रः - मुक्तकम्	1	hebbaLalu-rAghavendraH_-_muktakam	svAjmAyAmv
